author_id,brand_tweets,handoff,instructs,diagnoses,links,med_chars,groundable
MicrosoftHelps,11304,0.1074,0.2301,0.3927,0.5119,130.0,0.5575
VerizonSupport,17966,0.1212,0.1386,0.4724,0.1083,83.0,0.557
AdobeCare,9917,0.099,0.1674,0.3018,0.4128,129.0,0.413
hulu_support,21872,0.0711,0.2342,0.2671,0.5484,132.0,0.3849
AskPlayStation,19098,0.3002,0.2364,0.1575,0.3663,103.0,0.3782
XboxSupport,24557,0.2128,0.1931,0.2175,0.4035,115.0,0.3615
AzureSupport,7565,0.1987,0.0698,0.3052,0.4237,103.0,0.3488
AskAmex,11358,0.0318,0.072,0.2829,0.0623,100.0,0.3461
sainsburys,19466,0.2324,0.0459,0.318,0.3063,120.0,0.3417
AmazonHelp,169840,0.1212,0.0885,0.2641,0.413,123.0,0.3305
AppleSupport,106860,0.5411,0.1816,0.2038,0.7535,129.0,0.3261
O2,16212,0.3179,0.1168,0.251,0.4689,116.0,0.3212
ATVIAssist,17650,0.2444,0.0908,0.2435,0.3208,111.0,0.3089
HPSupport,7200,0.3997,0.1528,0.1878,0.5871,134.0,0.2907
AskeBay,9686,0.2975,0.1243,0.194,0.1828,131.0,0.2856
SpotifyCares,43265,0.3106,0.133,0.2098,0.5049,131.0,0.2752
GWRHelp,19364,0.0155,0.05,0.2355,0.0701,110.0,0.2747
DropboxSupport,5954,0.2115,0.1226,0.1989,0.2526,142.0,0.2738
CoxHelp,7861,0.4534,0.0739,0.2105,0.165,115.0,0.264
Ask_WellsFargo,7578,0.4067,0.0653,0.2263,0.4415,135.0,0.2634
VirginTrains,27817,0.0275,0.051,0.2118,0.132,79.0,0.257
Tesco,38573,0.2724,0.0507,0.2171,0.0827,134.0,0.2491
sprintcare,22381,0.4837,0.0457,0.2039,0.1732,117.0,0.2422
GloCare,6308,0.0173,0.1332,0.116,0.0296,101.0,0.24
BofA_Help,12683,0.0719,0.1261,0.1229,0.3063,109.0,0.2385
AirAsiaSupport,12829,0.1755,0.1541,0.1065,0.0847,114.0,0.2329
ChipotleTweets,18749,0.0489,0.0498,0.1735,0.2779,72.0,0.2172
British_Airways,29361,0.1471,0.0817,0.1301,0.0682,124.0,0.2021
JetBlue,8020,0.1297,0.0726,0.1424,0.1968,98.0,0.2012
AskLyft,11809,0.5706,0.1547,0.023,0.7272,130.0,0.1767
ArgosHelpers,12174,0.2921,0.0438,0.1395,0.0774,102.0,0.1755
SW_Help,12231,0.009,0.0497,0.1297,0.1795,113.0,0.1755
LondonMidland,6822,0.0157,0.0542,0.1206,0.0654,96.0,0.1718
Ask_Spectrum,25860,0.5121,0.0529,0.121,0.394,147.0,0.1677
AskTarget,13218,0.347,0.1064,0.0671,0.2512,147.0,0.167
marksandspencer,11504,0.1159,0.0566,0.11,0.1297,112.0,0.1554
McDonalds,8478,0.007,0.0156,0.1424,0.0946,76.0,0.154
SouthwestAir,28977,0.176,0.0681,0.0808,0.162,118.0,0.1369
DellCares,5336,0.419,0.099,0.0467,0.2176,132.0,0.1312
AlaskaAir,7478,0.1333,0.0449,0.097,0.1836,87.0,0.1297
AmericanAir,36764,0.2005,0.075,0.0592,0.0647,107.0,0.1256
Delta,42253,0.1693,0.0446,0.0826,0.1534,102.0,0.1227
Morrisons,10126,0.254,0.0229,0.1023,0.0119,103.0,0.1209
Safaricom_Care,16077,0.1957,0.0934,0.0294,0.1068,80.0,0.1187
airtel_care,9881,0.1852,0.0767,0.0243,0.0298,113.0,0.1006
comcastcares,33031,0.7231,0.0201,0.0751,0.04,127.0,0.0912
ChaseSupport,8811,0.498,0.058,0.0335,0.4868,132.0,0.0875
idea_cares,15724,0.2073,0.0788,0.005,0.3299,129.0,0.0808
UPSHelp,17817,0.6874,0.0263,0.0473,0.8506,139.0,0.0719
AirbnbHelp,8875,0.6033,0.0453,0.03,0.1815,143.0,0.0669
Uber_Support,56270,0.4263,0.0405,0.0082,0.5128,104.0,0.0482
TMobileHelp,34317,0.8292,0.0269,0.0193,0.482,126.0,0.0446
AldiUK,8114,0.2847,0.0137,0.0299,0.0669,116.0,0.0424
AskPayPal,11298,0.7446,0.014,0.0151,0.2685,133.0,0.0289
